"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó"
17911979964526738,17841417953448304,tintaysoda.stream,"Tinta y Soda","En La Plata hay 6.375 hectáreas de tierras extranjerizadas 🌎

📎 Un fragmento de lo que fue la columna de @cinpessano en el último programa. Disponible en nuestro canal de Youtube.",26,"08/11/2026 08:02",https://www.instagram.com/reel/Db53EdVBaj4/,"Reel de Instagram",,Total,3190,1905,83,15,3,1,4
18181798924423792,17841417953448304,tintaysoda.stream,"Tinta y Soda","Puntos en una app por matar soldados: la guerra gamer 🎮💥

Operadores a distancia manejan drones con joysticks. En Ucrania crearon una plataforma donde cada baja confirmada suma puntos canjeables por armamento real.

¿Estamos ante la mayor deshumanización de la historia? Opiná en comentarios 👇

#GuerraUcrania #Gamer #CounterStrike #geopolítica",35,"09/06/2026 08:35",https://www.instagram.com/reel/Dc83mYOKCek/,"Reel de Instagram",,Total,23064,14796,344,150,1,23,48
18105089357194435,17841417953448304,tintaysoda.stream,"Tinta y Soda","¿Cuánto sale tener un hijo/a en Argentina?

Con una Canasta de Crianza que supera los $600.000 mensuales por hijo, salarios licuados, alquileres y 48 de 50 políticas de cuidado desmanteladas, maternar se volvió un privilegio inaccesible para la juventud trabajadora.

No es que no se quieren tener hijos: es que el costo de vida te expulsa.

¿Vos llegás a fin de mes si sumás un hijo a la cuenta? Te leemos en comentarios 👇

👉 Seguí a @tintaysoda.stream para más análisis.

#Economia #Juventud #Crianza #Alquileres #INDEC TintaySoda",32,"09/05/2026 15:19",https://www.instagram.com/reel/Dc7BID6qZTz/,"Reel de Instagram",,Total,1481,910,44,6,0,0,2
18107449337525696,17841417953448304,tintaysoda.stream,"Tinta y Soda","¿Armas de guerra en el comedor de tu casa? 💻💣

El gobierno ucraniano compró el 60% de los drones comerciales del mundo y capacitó a 10.000 civiles por videollamada para ensamblar explosivos desde sus casas. De filmar casamientos a reventar trincheras militares.

¿Cuál es el siguiente paso? Los leemos abajo 👇

👉 Seguí a @tintaysoda.stream para sumarte al debate.

#guerraucrania #rusiaucrania #dronesmilitares #tecnologiabelica #geopolitica tintaysoda",22,"09/05/2026 08:30",https://www.instagram.com/reel/Dc6SYTDhes3/,"Reel de Instagram",,Total,4967,3090,86,9,0,2,5
17984639174876161,17841417953448304,tintaysoda.stream,"Tinta y Soda","El INDEC desmiente a Milei 📉👶

El discurso oficial culpa a los pañuelos verdes por el invierno demográfico. Sin embargo, las curvas históricas del INDEC demuestran que el 90% de la caída ocurrió mucho antes de 2020.

¿Relato ideológico para tapar la crisis o cambio de época? Los leemos abajo 👇

👉 Seguinos para sumarte al debate.",29,"09/04/2026 08:30",https://www.instagram.com/reel/Dc3tls4hhsn/,"Reel de Instagram",,Total,3630,2363,167,20,1,42,14
17899614855582913,17841417953448304,tintaysoda.stream,"Tinta y Soda","Cuando las votaciones en el Congreso abren preguntas necesarias 🏛️

¿Cuál es el camino que debe seguir la política frente al tablero judicial? La aprobación del pliego de Pablo Yadarola sorprendió a propios y ajenos, y plantea la necesidad de discutir de verdad qué acuerdos se tejen en el Senado.

¿Estrategia o contradicción? Dejá tu reflexión en comentarios 💬

📺 Sumate al vivo todos miércoles a las 17:30 hs por YouTube.",37,"09/03/2026 17:18",https://www.instagram.com/reel/Dc2FLxlKpCX/,"Reel de Instagram",,Total,488,336,16,4,0,1,2
18076437014379651,17841417953448304,tintaysoda.stream,"Tinta y Soda","¿Daniel Hadad presidente? 🇦🇷

🤔 ¿Para vos maneja más poder un presidente o el dueño de las noticias? 

👉🏼 ¡Hoy tenemos vivo a las 17:30! Pasa por nuestro programa para sumarte a la charla y compartir el vivo con nosotros. Link en la bio 📲🎙️",38,"09/02/2026 07:47",https://www.instagram.com/reel/Dcyenqruz97/,"Reel de Instagram",,Total,925,649,16,6,2,0,1
18208931791364014,17841417953448304,tintaysoda.stream,"Tinta y Soda","¿Un pastor en la Rosada? 🤔⛪

Desmenuzamos el armado político de Dante Gebel, sus vínculos con la política tradicional y su intento de un acto masivo.

¿Le ves futuro en una elección presidencial? Te leemos 👇",36,"08/31/2026 15:20",https://www.instagram.com/reel/DcuJLE9KZxY/,"Reel de Instagram",,Total,2350,1865,53,20,0,4,5
18013168574948092,17841417953448304,tintaysoda.stream,"Tinta y Soda","Dueño de Banco Macro, expresidente de River y una de las figuras más influyentes del sector financiero y energético ⚪🔴🏦

¿Jorge Brito se proyecta como el verdadero outsider del círculo rojo para 2027? Gestión deportiva, peso económico y vínculos directos con las altas esferas de la política nacional.

¿Lo ves con chances en la arena política o su rol está únicamente detrás del poder económico? Los leemos en comentarios 👇💬",35,"08/30/2026 14:41",https://www.instagram.com/reel/Dcrf6dBqsi9/,"Reel de Instagram",,Total,1507,1018,23,8,0,0,4
17894533674667453,17841417953448304,tintaysoda.stream,"Tinta y Soda","El Papa Francisco defendió los derechos humanos y abrió un puente con una generación que parecía alejarse de la religión.

💬 ¿Creés que su legado sigue vigente?",29,"08/28/2026 08:00",https://www.instagram.com/reel/DclotT9BisD/,"Reel de Instagram",,Total,600,448,26,2,0,0,1
